StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.2,Q2.4,Q2.5_First Click,Q2.5_Last Click,Q2.5_Page Submit,Q2.5_Click Count,Q5.2,Q5.3,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7_First Click,Q6.7_Last Click,Q6.7_Page Submit,Q6.7_Click Count,Q7.2,Q7.3,Q8.2,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7_First Click,Q8.7_Last Click,Q8.7_Page Submit,Q8.7_Click Count,Q9.2,Q9.3,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7_First Click,Q10.7_Last Click,Q10.7_Page Submit,Q10.7_Click Count,Q11.2,Q11.3,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7_First Click,Q12.7_Last Click,Q12.7_Page Submit,Q12.7_Click Count,QT.1,QT.2,QT.3,QT.4,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,QA.1,QA.2,QA.3,QA.4,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How is Body Mass Index calculated?,The algorithm calculates the risk of obesity for an individual by;,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,Which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible),I understand how the tool predicts healthy.,I trust the healthy prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,Which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible),I understand how the tool predicts overweight.,I trust the overweight prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,Which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible),I understand how the tool predicts obesity.,I trust the obesity prediction made by the artificial intelligence tool.,"Finally, to which of these four categories do you now think that this individual belongs?",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the data above, to which of these four categories do you think this individual belongs?",I feel confident in my prediction.,Which criteria do you believe impacted the AI towards this prediction? (Multiple answers possible),I understand how the tool predicts underweight.,I trust the underweight prediction made by the artificial intelligence tool.,"Finally, you can reconsider your obesity risk prediction after seeing the artificial intelligence prediction.",I feel confident in my new prediction.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your confidence in the tool? Do you have a feeling of trust in it?,Are the actions of the tool predictable?,Is the tool reliable?,Is the tool efficient at what it does?,"From the explanation, I understand how the tool works.",This explanation of how the tool works is satisfying.,This explanation of how the tool work has sufficient detail.,This explanation of how the tool work seems complete.,This explanation of how the tool work tells me how to use it.,This explanation of how the tool work is useful to my goals.,This explanation of how the tool shows me how accurate the tool is,This explanation lets me judge when I should trust and not trust the tool.,The system uses appropriate methods to reach decisions.,The system has sound knowledge about this type of problem built into it.,The advice the system produce is as good as that which a highly competent person could produce.,The system makes use of all the knowledge and information available to it to produce its solution to the problem.,I know what will happen the next time I use the system because I understand how it behaves.,I understand how the system will assist me with decisions I have to make.,"Although I may not know exactly how the system works, I know how to use it to make decisions about the problem.",It is easy to follow what the system does.,"According to the four scenarios and the corresponding explanation you have seen, how does the artificial intelligence tool predicts?",What was good in the explanation? What was bad in the explanation?,The benefits of having an explanation are worth the time spend to understand it.,"Considering that I use the artificial intelligence tool system, I would like to see this kind of explanation included.",PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211021606""}","{""ImportId"":""QID1211021605""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID1211021599""}","{""ImportId"":""QID1211021591""}","{""ImportId"":""QID1211021550""}","{""ImportId"":""QID1211021603""}","{""ImportId"":""QID1211021604""}","{""ImportId"":""QID1211021607""}","{""ImportId"":""QID1211021549""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID1211021574""}","{""ImportId"":""QID1211021575""}","{""ImportId"":""QID1211021577""}","{""ImportId"":""QID1211021578""}","{""ImportId"":""QID1211021579""}","{""ImportId"":""QID1211021580""}","{""ImportId"":""QID1211021581""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID1211021583""}","{""ImportId"":""QID1211021584""}","{""ImportId"":""QID1211021586""}","{""ImportId"":""QID1211021587""}","{""ImportId"":""QID1211021588""}","{""ImportId"":""QID1211021589""}","{""ImportId"":""QID1211021590""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID1211021614""}","{""ImportId"":""QID1211021615""}","{""ImportId"":""QID1211021618""}","{""ImportId"":""QID1211021619""}","{""ImportId"":""QID1211021620""}","{""ImportId"":""QID1211021621""}","{""ImportId"":""QID1211021622""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID1211021560""}","{""ImportId"":""QID1211021561""}","{""ImportId"":""QID1211021562""}","{""ImportId"":""QID1211021563""}","{""ImportId"":""QID1211021552""}","{""ImportId"":""QID1211021553""}","{""ImportId"":""QID1211021554""}","{""ImportId"":""QID1211021555""}","{""ImportId"":""QID1211021556""}","{""ImportId"":""QID1211021557""}","{""ImportId"":""QID1211021558""}","{""ImportId"":""QID1211021559""}","{""ImportId"":""QID1211021564""}","{""ImportId"":""QID1211021565""}","{""ImportId"":""QID1211021566""}","{""ImportId"":""QID1211021567""}","{""ImportId"":""QID1211021568""}","{""ImportId"":""QID1211021569""}","{""ImportId"":""QID1211021570""}","{""ImportId"":""QID1211021571""}","{""ImportId"":""QID1211021551_TEXT""}","{""ImportId"":""QID1211021601_TEXT""}","{""ImportId"":""QID1211021600""}","{""ImportId"":""QID1211021572""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2023-02-03 02:29:54,2023-02-03 02:34:51,IP Address,41.150.244.238,100,296,True,2023-02-03 02:34:51,R_3GBxkrPiwUuwaTb,,,,,-25.7599,28.2604,anonymous,EN,Based on weight and height,Asking family and friends of the individual to assess the risk of this individual.,5.821,34.138,34.797,10,Overweight,Somewhat agree,"Consumption of daily water,Calories consumption monitoring",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,4.131,13.666,14.141,14,Healthy,Somewhat agree,Calories consumption monitoring,Somewhat agree,Somewhat agree,Healthy,Somewhat agree,0.979,36.529,37.013,14,Underweight,Somewhat agree,"Gender,Consumption of daily water,Calories consumption monitoring",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,0.679,10.363,10.994,15,Underweight,Somewhat agree,"Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Underweight,Somewhat agree,1.303,14.136,14.615,14,4,3,4,4,I agree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I disagree somewhat,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,I'm neutral about it,"Based on weight and height ",Nothing,Somewhat agree,Somewhat agree,611d65b28a9828d87d126fba,63dcd3819291f66c73666a95,63dcd3fa68582ef4eccaf297
2023-02-03 02:31:54,2023-02-03 02:38:36,IP Address,144.137.67.50,100,402,True,2023-02-03 02:38:37,R_sbwpKxzTtzWSqw9,,,,,-27.4679,153.0325,anonymous,EN,Based on weight and height,Calculating the average risk of the entire dataset.,1.136,93.132,94.157,14,Healthy,Somewhat agree,"Frequent consumption of high caloric food,Calories consumption monitoring,Consumption of alcohol",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,0.526,12.644,13.149,22,Overweight,Somewhat agree,"Height,Number of main meals,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,1.639,40.681,41.934,26,Overweight,Somewhat agree,"Frequent consumption of high caloric food,Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Obesity,Somewhat agree,0.487,11.531,12.036,18,Healthy,Somewhat agree,"Family member has overweight,Calories consumption monitoring,Consumption of alcohol",Somewhat agree,Somewhat agree,Underweight,Somewhat agree,0.608,22.583,23.142,21,6,5,4,5,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I disagree somewhat,I disagree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it,"efficent ","The good was the calucation, bad was the meals amount ",Agree,Somewhat agree,6396d34d3a5bf9d08a56c383,63dcd3819291f66c73666a95,63dcd453206a893d6d3cc61a
2023-02-03 02:29:50,2023-02-03 02:38:41,IP Address,89.205.143.180,100,530,True,2023-02-03 02:38:42,R_ANwP8EJnKIqYYX7,,,,,52.3812,4.9263,anonymous,EN,Based on weight and height,Calculating the average risk of the entire dataset.,9.694,62.729,63.365,16,Healthy,Somewhat agree,Physical activity frequency,Somewhat agree,Strongly agree,Healthy,Strongly agree,1.656,21.038,21.618,18,Overweight,Strongly agree,Physical activity frequency,Strongly agree,Somewhat agree,Overweight,Strongly agree,3.152,27.008,27.53,21,Obesity,Strongly agree,Transportation used,Somewhat agree,Strongly agree,Obesity,Strongly agree,1.897,15.795,16.201,17,Underweight,Somewhat agree,Frequent consumption of high caloric food,Somewhat agree,Somewhat agree,Underweight,Somewhat agree,3.77,43.809,44.21,27,6,7. It is completely predictable.,6,7. It is completely efficient.,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I agree strongly,I'm neutral about it,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,I'm neutral about it,I agree strongly,I agree strongly,Compares the personal data with the available data from the database,The amout of data,Strongly agree,Somewhat agree,61031668658ac29bbec3d00d,63dcd3819291f66c73666a95,63dcd406f2714ef2bbd916b1
2023-02-03 02:31:24,2023-02-03 02:39:43,IP Address,92.237.128.117,100,499,True,2023-02-03 02:39:43,R_1Duwdm0yPkID68F,,,,,53.7981,-1.7623,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,5.287,35.572,36.28,11,Healthy,Strongly agree,"Height,Frequency of consumption of vegetables,Physical activity frequency",Strongly agree,Strongly agree,Healthy,Strongly agree,2.931,43.856,44.563,25,Healthy,Strongly agree,"Gender,Family member has overweight,Physical activity frequency",Somewhat disagree,Somewhat disagree,Healthy,Strongly agree,0.888,31.651,32.743,19,Healthy,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Physical activity frequency",Strongly agree,Somewhat agree,Overweight,Strongly agree,15.158,47.115,48.018,23,Healthy,Somewhat agree,"Height,Physical activity frequency",Somewhat agree,Somewhat agree,Underweight,Strongly agree,2.108,33.054,33.477,17,5,5,5,5,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree strongly,I agree somewhat,I'm neutral about it,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"Based on prior observation of 1500 people. Looks at a few key factors such as physical activity, height etc to correlate ","It was sufficient- could do with more detail about the the extent of the factors impacts the decision making i.e., is it the fact that physical activity is being done or the amount that impacts whether a person is considered healthy or not",Agree,Agree,5ab65c67f69e940001d8e06c,63dcd3819291f66c73666a95,63dcd4682f8142bc15bb3ef5
2023-02-03 02:31:27,2023-02-03 02:40:37,IP Address,192.143.89.75,100,549,True,2023-02-03 02:40:37,R_AHzIG8dsaRA89XP,,,,,-26.3811,27.8376,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,30.344,85.386,86.595,3,Overweight,Somewhat agree,"Gender,Age,Height,Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Physical activity frequency",Neither agree nor disagree,Somewhat agree,Healthy,Somewhat agree,9.961,25.266,31.34,12,Healthy,Strongly agree,"Gender,Age,Height,Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Consumption of food between meals,Consumption of daily water,Physical activity frequency",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,26.478,70.803,71.598,19,Underweight,Somewhat agree,"Gender,Age,Height,Family member has overweight,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Consumption of daily water,Physical activity frequency",Somewhat agree,Somewhat agree,Obesity,Somewhat agree,6.194,45.756,48.246,17,Healthy,Strongly agree,"Gender,Age,Height,Frequent consumption of high caloric food,Frequency of consumption of vegetables,Number of main meals,Consumption of food between meals,Consumption of daily water,Physical activity frequency",Somewhat agree,Strongly agree,Underweight,Neither agree nor disagree,4.247,25.735,26.804,17,6,7. It is completely predictable.,6,6,I agree somewhat,I agree strongly,I agree somewhat,I'm neutral about it,I disagree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,"age,height,physical activities and number of meals.",i need full report tht led to the predictions.,Agree,Strongly agree,60e9b57da8550f28be62142d,63dcd3819291f66c73666a95,63dcd469b0940c1efa666a72
2023-02-03 02:31:04,2023-02-03 02:41:36,IP Address,197.184.175.99,100,631,True,2023-02-03 02:41:36,R_3Db9YrRkIELbFHX,,,,,-26.3811,27.8376,anonymous,EN,Based on weight and height,Asking family and friends of the individual to assess the risk of this individual.,18.155,81.254,82.851,6,Healthy,Strongly agree,"Frequent consumption of high caloric food,Consumption of daily water,Calories consumption monitoring,Physical activity frequency",Strongly agree,Strongly agree,Healthy,Strongly agree,13.099,50.193,51.486,13,Overweight,Neither agree nor disagree,"Frequent consumption of high caloric food,Number of main meals,Physical activity frequency",Strongly agree,Strongly agree,Overweight,Strongly agree,3.28,30.522,31.79,11,Overweight,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Consumption of food between meals,Calories consumption monitoring,Physical activity frequency",Strongly agree,Strongly agree,Obesity,Somewhat agree,13.122,43.258,44.868,14,Healthy,Somewhat agree,"Calories consumption monitoring,Physical activity frequency",Somewhat disagree,Somewhat disagree,Healthy,Somewhat agree,21.536,65.502,67.688,15,6,5,6,5,I agree somewhat,I agree strongly,I agree strongly,I agree somewhat,I agree somewhat,I agree strongly,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,"It looks at all aspects before coming to a conclusion, and the aspects that it looks at totally make sense.",It was a good explanation,Somewhat agree,Agree,610bf4ccec7091839c42bde1,63dcd3819291f66c73666a95,63dcd455f084d6a9cabdcb39
2023-02-03 02:30:30,2023-02-03 02:41:38,IP Address,88.156.137.114,100,668,True,2023-02-03 02:41:38,R_5yUnXs0OmBzWcgN,,,,,52.2296,21.0067,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,30.346,127.389,128.414,2,Healthy,Strongly agree,"Frequent consumption of high caloric food,Frequency of consumption of vegetables,Calories consumption monitoring,Physical activity frequency,Time using technology devices,Consumption of alcohol",Strongly agree,Strongly agree,Healthy,Strongly agree,4.045,36.156,36.663,14,Obesity,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Number of main meals,Consumption of food between meals,Consumption of daily water,Physical activity frequency,Time using technology devices",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,9.755,40.208,40.864,11,Overweight,Somewhat agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of food between meals,Calories consumption monitoring,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Neither agree nor disagree,15.977,47.962,48.888,9,Healthy,Strongly agree,"Family member has overweight,Frequent consumption of high caloric food,Consumption of daily water,Physical activity frequency",Somewhat disagree,Neither agree nor disagree,Healthy,Somewhat agree,20.901,43.215,44.112,8,6,6,6,6,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I'm neutral about it," accurately",I cant exactly name it :D,Somewhat agree,Agree,5eb7938e1f70086c6ec6186f,63dcd3819291f66c73666a95,63dcd4295549dceea7753a33
2023-02-03 02:31:30,2023-02-03 02:41:49,IP Address,77.54.221.89,100,619,True,2023-02-03 02:41:50,R_2QRMPYJKIJPU99G,,,,,38.731,-9.1373,anonymous,EN,Based on weight and height,Comparing an individual's information with prior observations.,17.116,88.118,88.971,6,Healthy,Somewhat agree,"Frequent consumption of high caloric food,Physical activity frequency",Somewhat agree,Somewhat agree,Healthy,Somewhat agree,8.137,19.258,20.066,6,Overweight,Somewhat agree,"Family member has overweight,Physical activity frequency",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,8.23,17.017,17.698,8,Overweight,Somewhat disagree,"Family member has overweight,Frequent consumption of high caloric food",Somewhat agree,Somewhat agree,Overweight,Somewhat agree,8.585,38.749,39.685,11,Healthy,Somewhat agree,"Frequent consumption of high caloric food,Physical activity frequency",Neither agree nor disagree,Neither agree nor disagree,Underweight,Neither agree nor disagree,9.787,32.873,33.544,18,5,5,5,5,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I'm neutral about it,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,it is based on a series of topics to then formulate a response and is based on a previous series of data,everything seems all good explained,Agree,Agree,5fbea94117bb180684661d1e,63dcd3819291f66c73666a95,63dcd470a1b56ee1bba6fc33
2023-02-03 02:30:14,2023-02-03 02:42:37,IP Address,102.39.182.100,100,742,True,2023-02-03 02:42:37,R_3CUEx6gz0qMK3AI,,,,,-26.1,28.25,anonymous,EN,Based on weight and height,Asking family and friends of the individual to assess the risk of this individual.,25.29,111.245,119.025,22,Overweight,Strongly agree,Gender,Somewhat agree,Somewhat agree,Healthy,Strongly agree,0.673,26.259,26.77,15,Obesity,Strongly agree,Frequent consumption of high caloric food,Somewhat agree,Strongly agree,Overweight,Strongly agree,1.148,14.263,14.978,13,Overweight,Strongly agree,Physical activity frequency,Somewhat agree,Neither agree nor disagree,Overweight,Strongly agree,0.655,15.921,16.564,13,Healthy,Strongly agree,Frequency of consumption of vegetables,Neither agree nor disagree,Somewhat disagree,Healthy,Strongly agree,2.477,81.034,81.715,27,2,1. It is not at all predictable.,4,4,I agree somewhat,I agree somewhat,I'm neutral about it,I disagree somewhat,I'm neutral about it,I'm neutral about it,I disagree somewhat,I disagree somewhat,I'm neutral about it,I agree somewhat,I disagree somewhat,I agree somewhat,I agree somewhat,I agree somewhat,I agree strongly,I'm neutral about it,"The tool predict randomly ","That the tool uses all the provided information, but if the weight was also provided the tool would a sound prediction ",Strongly agree,Agree,611d390459ab8999d8742c44,63dcd3819291f66c73666a95,63dcd40c6f4a88fc10416939
